,Date,State,Confirmed,Deceased,Recovered,State_Name
4691,29-Apr-20,GJ,308,16,93,Gujarat
4730,29-Jun-20,GJ,626,19,440,Gujarat
4769,29-Mar-20,GJ,8,1,1,Gujarat
4808,29-May-20,GJ,372,20,608,Gujarat
4847,30-Apr-20,GJ,313,17,86,Gujarat
4886,30-Jun-20,GJ,620,20,422,Gujarat
4925,30-Mar-20,GJ,7,1,2,Gujarat
4964,30-May-20,GJ,412,27,621,Gujarat
5003,31-Mar-20,GJ,4,0,2,Gujarat
5042,31-May-20,GJ,438,31,689,Gujarat
